Date,CNY,USD,TWI,SDR
02-Jan-2018,5.0948,0.7837,65.1,0.5503
03-Jan-2018,5.0842,0.7816,64.8,0.5473
04-Jan-2018,5.0983,0.7835,65,0.5493
05-Jan-2018,5.0916,0.7857,65,0.5503
08-Jan-2018,5.0893,0.7842,65,0.5495
09-Jan-2018,5.1062,0.7854,65.1,0.5514
10-Jan-2018,5.1053,0.7828,65,0.5506
11-Jan-2018,5.1313,0.7873,65.3,0.552
12-Jan-2018,5.112,0.7885,65.1,0.5542
15-Jan-2018,5.1036,0.7946,65.3,0.5546
16-Jan-2018,5.1227,0.7968,65.4,0.5561
17-Jan-2018,5.1175,0.7955,65.4,0.553
18-Jan-2018,5.1267,0.7964,65.5,0.5536
19-Jan-2018,5.1286,0.8019,65.7,0.5567
22-Jan-2018,5.1206,0.799,65.6,0.5538
23-Jan-2018,5.1138,0.7989,65.5,0.554
24-Jan-2018,5.1238,0.8016,65.5,0.5559
25-Jan-2018,5.1246,0.8094,65.7,0.5584
29-Jan-2018,5.1215,0.8096,65.7,0.5562
30-Jan-2018,5.1115,0.807,65.7,0.5555
31-Jan-2018,5.1058,0.8073,65.6,0.5548
01-Feb-2018,5.0617,0.8044,65.3,0.5521
02-Feb-2018,5.0244,0.7997,64.9,0.5495
05-Feb-2018,4.9937,0.7929,64.5,0.5439
06-Feb-2018,4.9374,0.7844,63.9,0.5392
07-Feb-2018,4.9316,0.7883,64.1,0.543
08-Feb-2018,4.9455,0.7812,63.9,0.5386
09-Feb-2018,4.9211,0.7779,63.6,0.5385
12-Feb-2018,4.9404,0.7834,63.9,0.5423
13-Feb-2018,4.9786,0.787,64.2,0.5442
14-Feb-2018,4.9898,0.7877,64.1,0.5432
15-Feb-2018,5.0307,0.7933,64.4,0.547
16-Feb-2018,5.051,0.7965,64.5,0.5461
19-Feb-2018,5.0225,0.792,64.3,0.5425
20-Feb-2018,5.0263,0.7926,64.4,0.5429
21-Feb-2018,4.9793,0.7852,64,0.5408
22-Feb-2018,4.9558,0.7806,63.7,0.5385
23-Feb-2018,4.9598,0.7821,63.8,0.54
26-Feb-2018,4.9672,0.7863,63.9,0.5421
27-Feb-2018,4.9492,0.7847,63.8,0.54
28-Feb-2018,4.9312,0.7792,63.6,0.5369
01-Mar-2018,4.9019,0.7731,63.2,0.5347
02-Mar-2018,4.9279,0.7756,63.3,0.5373
05-Mar-2018,4.909,0.7752,63.2,0.5346
06-Mar-2018,4.9284,0.7773,63.4,0.536
07-Mar-2018,4.9377,0.7804,63.4,0.5367
08-Mar-2018,4.9531,0.783,63.7,0.5382
09-Mar-2018,4.9431,0.7792,63.5,0.5362
12-Mar-2018,4.9815,0.7869,64,0.5431
13-Mar-2018,4.9786,0.787,64.1,0.543
14-Mar-2018,4.9717,0.7871,63.9,0.5425
15-Mar-2018,4.9716,0.7876,64,0.5415
16-Mar-2018,4.9297,0.779,63.4,0.536
19-Mar-2018,4.8692,0.7691,62.7,0.5294
20-Mar-2018,4.8738,0.7703,62.7,0.5306
21-Mar-2018,4.874,0.7697,62.8,0.5305
22-Mar-2018,4.8941,0.7744,62.9,0.5338
23-Mar-2018,4.883,0.7711,62.7,0.5302
26-Mar-2018,4.8755,0.7723,62.7,0.5306
27-Mar-2018,4.8448,0.7738,62.6,0.53
28-Mar-2018,4.8316,0.7694,62.3,0.5276
29-Mar-2018,4.8246,0.7665,62.3,0.5259
03-Apr-2018,4.8321,0.7685,62.4,0.5284
04-Apr-2018,4.8478,0.77,62.5,0.5301
05-Apr-2018,4.8472,0.769,62.5,0.5298
06-Apr-2018,4.839,0.7677,62.5,0.529
09-Apr-2018,4.8435,0.7691,62.5,0.5311
10-Apr-2018,4.8719,0.7733,62.8,0.533
11-Apr-2018,4.8665,0.7749,62.8,0.5331
12-Apr-2018,4.8651,0.7751,62.9,0.5323
13-Apr-2018,4.8925,0.778,63.2,0.5349
16-Apr-2018,4.882,0.7769,63.1,0.5342
17-Apr-2018,4.8809,0.7771,63,0.5335
18-Apr-2018,4.8862,0.7771,63.1,0.5332
19-Apr-2018,4.8914,0.7804,63.3,0.536
20-Apr-2018,4.8471,0.7714,62.8,0.5298
23-Apr-2018,4.8296,0.7673,62.6,0.5286
24-Apr-2018,4.8025,0.7608,62.3,0.5259
26-Apr-2018,4.7899,0.7574,62.2,0.5243
27-Apr-2018,4.7832,0.7545,62,0.5226
30-Apr-2018,4.7936,0.757,62.1,0.5265
01-May-2018,4.7746,0.754,62,0.5243
02-May-2018,4.7731,0.7503,61.9,0.523
03-May-2018,4.7886,0.7524,62.1,0.5253
04-May-2018,4.7857,0.7538,62.1,0.5265
07-May-2018,4.7827,0.752,62.1,0.5255
08-May-2018,4.7818,0.7514,62.1,0.5261
09-May-2018,4.7384,0.7435,61.6,0.521
10-May-2018,4.749,0.7458,61.8,0.5227
11-May-2018,4.7811,0.7534,62.2,0.5277
14-May-2018,4.7846,0.7549,62.3,0.5276
15-May-2018,4.7679,0.7508,62.1,0.5243
