"d","p","q","aic","bic","lb_p"
1,7,5,474.048817908849,523.790252097752,0.967860654549419
1,7,6,474.565708613056,527.86010238688,0.885338483102589
1,8,2,474.626100541414,517.261615560473,0.729622683662125
1,8,5,474.742345884729,528.036739658553,0.946808008553699
1,10,4,475.445153590063,532.292506948809,0.65748485330513
1,7,2,475.507429418224,514.589984852362,0.575729020844188
1,4,7,475.702139979331,521.890614583312,0.374762951361552
1,8,1,475.723482508612,514.80603794275,0.585517082120824
1,7,1,475.80107563486,511.330671484077,0.523341885454076
1,5,7,475.843041603806,525.584475792709,0.297047418263052
