"currency","term","estimate"
"CNY","mu",-0.0169875528322371
"CNY","ar1",0.167726080270542
"CNY","ar2",0.81617582015813
"CNY","ma1",-0.193385348749382
"CNY","ma2",-0.814494143636478
"CNY","omega",0.0116605482530564
"CNY","alpha1",0.0231089198460207
"CNY","alpha2",0.000196896348092318
"CNY","beta1",0.565091218202325
"CNY","beta2",0.32281745882502
"CNY","gamma1",0.154779745106943
"CNY","gamma2",-0.0628613680408652
"USD","mu",-0.0234667475685521
"USD","omega",0.00781278731416405
"USD","alpha1",0.0144192927284258
"USD","alpha2",4.8005167073912e-09
"USD","beta1",0.549116342923011
"USD","beta2",0.375950796562555
"USD","gamma1",0.164012545720855
"USD","gamma2",-0.0814615397842309
"TWI","mu",-0.00314279614044829
"TWI","ar1",-0.0490632777400073
"TWI","omega",0.0228712898586775
"TWI","alpha1",0.152505005426751
"TWI","alpha2",1.37372949714321e-08
"TWI","beta1",0.2596083820528
"TWI","beta2",0.492869080773522
"SDR","mu",-0.0150153455952913
"SDR","ma1",-0.193328912877089
"SDR","omega",0.00886576221675475
"SDR","alpha1",0.0335261746422348
"SDR","alpha2",4.12321518047186e-08
"SDR","beta1",0.556560442814781
"SDR","beta2",0.352617594247607
"SDR","gamma1",0.223000925262081
"SDR","gamma2",-0.149948277751359
