"currency","term","estimate"
"CNY","mu",-0.00405334110334408
"CNY","ar1",1.87237386748778
"CNY","ar2",-0.874089931177551
"CNY","ma1",-1.90674845190809
"CNY","ma2",0.895603886773401
"CNY","ma3",0.0108527112470341
"CNY","omega",0.0278064403293277
"CNY","alpha1",0.203426420849695
"CNY","beta1",0.113208680559734
"CNY","beta2",0.222314126246896
"CNY","beta3",0.373572044492879
"USD","mu",-0.0104363781332549
"USD","omega",0.0206493806463567
"USD","alpha1",0.135920117232745
"USD","alpha2",0.00903888580656263
"USD","alpha3",0.0139404695513144
"USD","beta1",1.21714692452624e-06
"USD","beta2",0.332352699140927
"USD","beta3",0.46163630528788
"TWI","mu",-0.00286393148474956
"TWI","ar1",-0.0441607167280112
"TWI","omega",0.0246377400815523
"TWI","alpha1",0.197189375165456
"TWI","beta1",0.0897167300642568
"TWI","beta2",0.189482799109469
"TWI","beta3",0.424118164286986
"SDR","mu",-0.00496597078284983
"SDR","ma1",-0.191051267301365
"SDR","omega",0.0342473987320858
"SDR","alpha1",0.130518875829141
"SDR","alpha2",2.68629483821725e-10
"SDR","alpha3",0.0618600517923322
"SDR","alpha4",0.0769021112166648
"SDR","beta1",9.22439778686146e-08
"SDR","beta2",1.87848336309364e-07
"SDR","beta3",0.199415901706376
"SDR","beta4",0.45563170573598
