"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"CNY","ARMA(2,2)",1,1,"norm",1.5656934717488,1.58795997090267,0.485333014304858,0.0103088014954258,0.00321237244793349,0.940570340872111
"CNY","ARMA(2,2)",1,1,"std",1.52693078186903,1.55198059341713,0.423520151963185,1.51310191964793e-06,2.51434007725315e-07,0.963795895523701
"CNY","ARMA(2,2)",1,1,"sstd",1.52703532717993,1.55486845112227,0.559983239131395,8.5319523979166e-07,1.3787504182794e-07,0.968037095838275
"CNY","ARMA(2,2)",2,1,"norm",1.55740656192464,1.58245637347275,0.00515185674641228,0.0495476143728961,0.0188412324648318,0.925373498034415
"CNY","ARMA(2,2)",2,1,"std",1.52851524615726,1.5563483700996,0.554440038962575,1.18981191865597e-06,1.95389447732452e-07,0.96530479551418
"CNY","ARMA(2,2)",2,1,"sstd",1.52750609270556,1.55812252904213,0.432427156375048,1.04882239426729e-06,1.71182651054202e-07,0.966717374001157
"CNY","ARMA(2,2)",3,1,"norm",1.56789737300846,1.59573049695079,0.484956919520329,0.0101033512644444,0.00314137477711307,0.940574453154956
"CNY","ARMA(2,2)",3,1,"std",1.52965606798141,1.56027250431798,0.555682166547943,1.01283525399953e-06,1.6502976807331e-07,0.965512874669717
"CNY","ARMA(2,2)",3,1,"sstd",1.52916970843448,1.56256945716528,0.561320608151899,7.27749704387826e-07,1.1671457655904e-07,0.968234018646876
"CNY","ARMA(2,2)",4,1,"norm",1.5691463102379,1.59976274657447,0.484555478237149,0.00978959007511204,0.00303329727786028,0.940626637151466
"CNY","ARMA(2,2)",4,1,"std",1.53081525521036,1.56421500394116,0.557154140111677,8.33217743689829e-07,1.34494054337964e-07,0.965746999558963
"CNY","ARMA(2,2)",4,1,"sstd",1.53033183646995,1.56651489759499,0.562807796669798,6.11246798287723e-07,9.72253524356148e-08,0.968406986530191
"CNY","ARMA(2,2)",1,2,"norm",1.56398964925039,1.58903946079849,0.113275842114249,7.82084973760533e-06,1.415686942563e-06,0.996315450111818
"CNY","ARMA(2,2)",1,2,"std",1.52625582144568,1.55408894538802,0.534064503363106,2.00488812704958e-05,3.8278829843641e-06,0.948343920904216
